year,year_code,country_name,country_code,region,region_code,economic_fitness_matrix,economic_fitness_ranking
1996,YR1996,Eritrea,ERI,Sub-Saharan Africa,SSA,0.00037985,136
1996,YR1996,Estonia,EST,Europe & Central Asia,ECA,1.1198,40
1996,YR1996,Ethiopia,ETH,Sub-Saharan Africa,SSA,0.0067597,131
1996,YR1996,Finland,FIN,Europe & Central Asia,ECA,1.8897,22
1996,YR1996,France,FRA,Europe & Central Asia,ECA,6.1954,5
1996,YR1996,Gabon,GAB,Sub-Saharan Africa,SSA,1.07E-11,143
1996,YR1996,"Gambia, The",GMB,Sub-Saharan Africa,SSA,0.10831,96
1996,YR1996,Georgia,GEO,Europe & Central Asia,ECA,0.66938,53
1996,YR1996,Germany,DEU,Europe & Central Asia,ECA,9.1431,1
1996,YR1996,Ghana,GHA,Sub-Saharan Africa,SSA,0.037726,114
1996,YR1996,Greece,GRC,Europe & Central Asia,ECA,0.96358,43
1996,YR1996,Greenland,GRL,Europe & Central Asia,ECA,0.0036227,133
1996,YR1996,Guatemala,GTM,Latin America & Caribbean,LAC,0.44384,66
1996,YR1996,Guinea,GIN,Sub-Saharan Africa,SSA,0.012665,126
1996,YR1996,Guinea-Bissau,GNB,Sub-Saharan Africa,SSA,2.01E-09,142
1996,YR1996,Guyana,GUY,Latin America & Caribbean,LAC,0.004672,132
1996,YR1996,Honduras,HND,Latin America & Caribbean,LAC,0.22767,78
1996,YR1996,Hungary,HUN,Europe & Central Asia,ECA,2.4136,18
1996,YR1996,Iceland,ISL,Europe & Central Asia,ECA,0.16643,84
1996,YR1996,India,IND,South Asia,SA,2.676,17
1996,YR1996,Indonesia,IDN,East Asia & Pacific,EAP,1.1111,41
1996,YR1996,"Iran, Islamic Rep.",IRN,Middle East & North Africa,MENA,0.031895,117
1996,YR1996,Iraq,IRQ,Middle East & North Africa,MENA,0.066219,105
1996,YR1996,Ireland,IRL,Europe & Central Asia,ECA,1.6307,27
1996,YR1996,Israel,ISR,Middle East & North Africa,MENA,2.0486,21
1996,YR1996,Italy,ITA,Europe & Central Asia,ECA,5.6901,6
1996,YR1996,Japan,JPN,East Asia & Pacific,EAP,7.1785,2
1996,YR1996,Jordan,JOR,Middle East & North Africa,MENA,0.24852,77
1996,YR1996,Kazakhstan,KAZ,Europe & Central Asia,ECA,0.64011,56
1996,YR1996,Kenya,KEN,Sub-Saharan Africa,SSA,0.2723,75
1996,YR1996,"Korea, Dem. Rep.",PRK,East Asia & Pacific,EAP,1.3306,34
1996,YR1996,"Korea, Rep.",KOR,East Asia & Pacific,EAP,2.8253,16
1996,YR1996,Kuwait,KWT,Middle East & North Africa,MENA,0.00018362,137
1996,YR1996,Kyrgyz Republic,KGZ,Europe & Central Asia,ECA,0.4374,69
1996,YR1996,Lao PDR,LAO,East Asia & Pacific,EAP,0.18017,82
1996,YR1996,Latvia,LVA,Europe & Central Asia,ECA,0.75909,49
1996,YR1996,Lebanon,LBN,Middle East & North Africa,MENA,0.53152,60
1996,YR1996,Liberia,LBR,Sub-Saharan Africa,SSA,2.98E-09,141
1996,YR1996,Libya,LBY,Middle East & North Africa,MENA,4.35E-12,145
1996,YR1996,Lithuania,LTU,Europe & Central Asia,ECA,1.0395,42
1996,YR1996,"Macedonia, FYR",MKD,Europe & Central Asia,ECA,0.70719,52
1996,YR1996,Madagascar,MDG,Sub-Saharan Africa,SSA,0.11219,95
1996,YR1996,Malawi,MWI,Sub-Saharan Africa,SSA,0.083728,104
1996,YR1996,Malaysia,MYS,East Asia & Pacific,EAP,1.1634,37
1996,YR1996,Mali,MLI,Sub-Saharan Africa,SSA,0.031481,120
1996,YR1996,Malta,MLT,Middle East & North Africa,MENA,0.52872,61
1996,YR1996,Mauritania,MRT,Sub-Saharan Africa,SSA,0.0015827,134
1996,YR1996,Mexico,MEX,Latin America & Caribbean,LAC,1.6776,26
1996,YR1996,Mongolia,MNG,East Asia & Pacific,EAP,0.064401,107
1996,YR1996,Montenegro,MNE,Europe & Central Asia,ECA,..,..
1996,YR1996,Morocco,MAR,Middle East & North Africa,MENA,0.42687,70
1996,YR1996,Mozambique,MOZ,Sub-Saharan Africa,SSA,0.031872,118
1996,YR1996,Myanmar,MMR,East Asia & Pacific,EAP,0.052975,109
1996,YR1996,Nepal,NPL,South Asia,SA,0.10277,100
1996,YR1996,Netherlands,NLD,Europe & Central Asia,ECA,4.7052,9
1996,YR1996,New Zealand,NZL,East Asia & Pacific,EAP,0.73081,50
1996,YR1996,Nicaragua,NIC,Latin America & Caribbean,LAC,0.12737,90
1996,YR1996,Niger,NER,Sub-Saharan Africa,SSA,0.10338,99
1996,YR1996,Nigeria,NGA,Sub-Saharan Africa,SSA,0.0098886,128
1996,YR1996,Norway,NOR,Europe & Central Asia,ECA,0.95932,44
1996,YR1996,Oman,OMN,Middle East & North Africa,MENA,0.099349,101
1996,YR1996,Pakistan,PAK,South Asia,SA,0.44049,67
1996,YR1996,Panama,PAN,Latin America & Caribbean,LAC,0.61509,57
1996,YR1996,Paraguay,PRY,Latin America & Caribbean,LAC,0.12635,91
1996,YR1996,Peru,PER,Latin America & Caribbean,LAC,0.27147,76
1996,YR1996,Philippines,PHL,East Asia & Pacific,EAP,0.72516,51
1996,YR1996,Poland,POL,Europe & Central Asia,ECA,1.8825,23
1996,YR1996,Portugal,PRT,Europe & Central Asia,ECA,1.3322,33
1996,YR1996,Qatar,QAT,Middle East & North Africa,MENA,0.00014663,138
1996,YR1996,Romania,ROU,Europe & Central Asia,ECA,1.3077,35
1996,YR1996,Russian Federation,RUS,Europe & Central Asia,ECA,1.1473,38
1996,YR1996,Rwanda,RWA,Sub-Saharan Africa,SSA,0.034577,116
1996,YR1996,Saudi Arabia,SAU,Middle East & North Africa,MENA,0.11688,93
1996,YR1996,Senegal,SEN,Sub-Saharan Africa,SSA,0.17083,83
1996,YR1996,Serbia,SRB,Europe & Central Asia,ECA,..,..
1996,YR1996,Sierra Leone,SLE,Sub-Saharan Africa,SSA,0.16547,85
1996,YR1996,Singapore,SGP,East Asia & Pacific,EAP,1.5187,31
1996,YR1996,Slovak Republic,SVK,Europe & Central Asia,ECA,1.8672,24
1996,YR1996,Slovenia,SVN,Europe & Central Asia,ECA,2.39,19
1996,YR1996,Somalia,SOM,Sub-Saharan Africa,SSA,0.0012737,135
1996,YR1996,South Africa,ZAF,Sub-Saharan Africa,SSA,0.82188,46
1996,YR1996,Spain,ESP,Europe & Central Asia,ECA,3.791,12
1996,YR1996,Sudan,SDN,Sub-Saharan Africa,SSA,0.028294,121
1996,YR1996,Suriname,SUR,Latin America & Caribbean,LAC,0.010182,127
1996,YR1996,Sweden,SWE,Europe & Central Asia,ECA,3.2344,14
1996,YR1996,Switzerland,CHE,Europe & Central Asia,ECA,5.3914,7
1996,YR1996,Syrian Arab Republic,SYR,Middle East & North Africa,MENA,0.10472,98
1996,YR1996,Tajikistan,TJK,Europe & Central Asia,ECA,0.13224,87
1996,YR1996,Tanzania,TZA,Sub-Saharan Africa,SSA,0.043646,111
1996,YR1996,Thailand,THA,East Asia & Pacific,EAP,1.5323,29
1996,YR1996,Togo,TGO,Sub-Saharan Africa,SSA,0.14048,86
1996,YR1996,Tunisia,TUN,Middle East & North Africa,MENA,0.53871,59
1996,YR1996,Turkey,TUR,Europe & Central Asia,ECA,1.3616,32
1996,YR1996,Turkmenistan,TKM,Europe & Central Asia,ECA,0.031699,119
1996,YR1996,Uganda,UGA,Sub-Saharan Africa,SSA,0.057408,108
1996,YR1996,Ukraine,UKR,Europe & Central Asia,ECA,1.5869,28
1996,YR1996,United Arab Emirates,ARE,Middle East & North Africa,MENA,0.12949,88
1996,YR1996,United Kingdom,GBR,Europe & Central Asia,ECA,6.3503,4
1996,YR1996,United States,USA,North America,NA,6.8277,3
1996,YR1996,Uruguay,URY,Latin America & Caribbean,LAC,0.48999,62
